ASM,オリジナル,Allatori,Duplication,Irreducibility,Marge,ProGuard,Opaque,,,,,,,,,,
iload iastore aload getfield getfield,1,1,1,1,1,1,1,4433.74,,,,,,,,,
iload iastore aload getfield iconst1,1,,1,1,1,1,1,11466.9,,,,,,,,,
iload iastore aload getfield iconst2,1,,1,1,1,1,1,5824.75,,,,,,,,,
iload iastore aload iconst3 putfield,1,,1,1,1,1,1,5448.43,,,,,,,,,
iload iastore iconst1 ireturn iconst0,1,,1,1,,1,1,18651.9,,,,,,,,,
iload iastore iconst1 ireturn iload,1,,1,1,,1,1,28775.7,,,,,,,,,
iload iconst0 bastore iinc gotoInsn,1,,,1,1,1,1,10009.7,,,,,,,,,
iload iconst0 iconst1 invokespecial aload,1,,1,1,1,1,1,12378.9,,,,,,,,,
iload iconst1 bastore iinc gotoInsn,1,,1,1,,1,1,11046,,,,,,,,,
iload iconst1 iadd aload getfield,1,,1,1,1,1,1,4808.57,,,,,,,,,
iload iconst1 iadd aload iconst0,1,1,1,1,1,1,1,28755.6,,,,,,,,,
iload iconst1 iadd aload iload,1,1,1,1,,1,1,22692.8,,,,,,,,,
iload iconst1 iadd baload invokeinterface,1,,1,1,,1,1,4561.66,,,,,,,,,
iload iconst1 iadd iaload iload,1,1,1,1,1,1,1,23177.9,,,,,,,,,
iload iconst1 iadd iastore aload,1,,1,1,,1,1,16120.5,,,,,,,,,
iload iconst1 iadd iconst2 iload,1,1,1,1,1,1,1,15813.1,,,,,,,,,
iload iconst1 iadd iload i2b,1,,1,1,1,1,1,3633.23,,,,,,,,,
iload iconst1 iadd iload iconst1,1,1,1,1,1,1,1,25570.7,,,,,,,,,
iload iconst1 iadd iload iinc,1,,1,1,,1,1,7467.83,,,,,,,,,
iload iconst1 iadd invokespecial areturn,1,1,1,1,1,1,1,5305.13,,,,,,,,,
iload iconst1 iadd invokestatic putfield,1,1,1,1,1,1,1,6489.02,,,,,,,,,
iload iconst1 iadd invokevirtual aload,1,,1,1,,1,1,4808.62,,,,,,,,,
iload iconst1 iadd invokevirtual iaload,1,1,1,1,,1,1,20127.4,,,,,,,,,
iload iconst1 iadd invokevirtual invokeinterface,1,,1,1,,1,1,6382.26,,,,,,,,,
iload iconst1 iadd invokevirtual istore,1,,1,1,,1,1,7031.81,,,,,,,,,
iload iconst1 iadd ireturn iload,1,,1,1,1,1,1,15276.5,,,,,,,,,
iload iconst1 iadd ldc invokespecial,1,1,1,1,1,1,1,10666.2,,,,,,,,,
iload iconst1 ifIcmpne iload bipush,1,1,1,1,,1,,20537.1,,,,,,,,,
iload iconst1 invokestatic istore iload,1,1,1,1,1,1,1,20845.5,,,,,,,,,
iload iconst1 isub baload istore,1,1,1,1,,1,1,8051.37,,,,,,,,,
iload iconst1 isub baload sipush,1,1,1,1,,1,1,9321.14,,,,,,,,,
iload iconst1 isub baload tableswitch,1,1,1,1,1,1,1,3554.27,,,,,,,,,
iload iconst1 isub bipush idiv,1,,1,1,1,1,1,8231.3,,,,,,,,,
iload iconst1 isub iload invokevirtual,1,1,1,1,,1,1,4174.8,,,,,,,,,
iload iconst1 isub invokespecial areturn,1,1,1,1,1,1,1,5941.99,,,,,,,,,
iload iconst1 isub istore iload,1,,1,72,,1,1,7095.46,,,,,,,,,
iload iconst2 iadd aload aload,1,1,1,1,1,1,1,23299.2,,,,,,,,,
iload iconst2 iadd anewarray astore,1,1,1,1,1,1,1,13499.3,,,,,,,,,
iload iconst2 iadd baload invokeinterface,1,,1,1,,1,1,4562.9,,,,,,,,,
iload iconst2 iadd iaload aload,1,1,1,1,1,1,1,18763.8,,,,,,,,,
iload iconst2 iadd iload iadd,1,,1,1,,1,1,9314.58,,,,,,,,,
iload iconst2 iadd iload invokestatic,1,,1,1,,1,1,9656.27,,,,,,,,,
iload iconst2 iadd invokestatic iadd,1,1,1,1,,1,1,20017,,,,,,,,,
iload iconst2 iadd invokevirtual ifne,1,1,1,1,1,1,1,18316.3,,,,,,,,,
iload iconst2 iadd invokevirtual invokeinterface,1,,1,1,,1,1,10797.3,,,,,,,,,
iload iconst2 iadd invokevirtual putfield,1,,1,1,1,1,1,9141.11,,,,,,,,,
iload iconst2 iadd istore gotoInsn,1,,1,1,1,1,1,6070.38,,,,,,,,,
iload iconst2 ifIcmpge iload ifne,1,,1,1,1,1,,13978.8,,,,,,,,,
iload iconst2 imul iconst1 iadd,1,,1,1,,1,1,4990.02,,,,,,,,,
iload iconst2 invokevirtual pop iinc,1,,1,1,,1,1,9697.19,,,,,,,,,
iload iconst2 ishl iload bipush,1,1,1,1,,1,1,25433.2,,,,,,,,,
iload iconst2 ishr iconst0 invokevirtual,1,1,1,1,,1,1,6613.74,,,,,,,,,
iload iconst2 isub aload iconst0,1,1,1,1,1,1,1,49974.8,,,,,,,,,
iload iconst3 iadd aload getfield,1,,1,1,1,1,1,7307.03,,,,,,,,,
iload iconst3 iadd aload iconst1,1,1,1,1,1,1,1,58628.1,,,,,,,,,
iload iconst3 iadd ireturn aload,1,1,1,1,1,1,1,25489.4,,,,,,,,,
iload iconst3 iand iadd iconst1,1,1,1,1,,1,1,26924.9,,,,,,,,,
iload iconst3 iand iadd istore,1,,1,1,,1,1,15204,,,,,,,,,
iload iconst3 iand invokeinterface gotoInsn,1,1,1,1,1,1,1,7931.72,,,,,,,,,
iload iconst3 iand invokeinterface iinc,1,1,1,1,,1,1,7319.17,,,,,,,,,
iload iconst3 ifIcmpge iinc iload,1,1,,1,1,1,,16361.8,,,,,,,,,
iload iconst3 ifIcmpne iconst2 istore,1,1,,1,1,1,,9564.45,,,,,,,,,
iload iconst3 ifIcmpne returnInsn newInsn,1,1,1,1,1,1,,1509.02,,,,,,,,,
iload iconst3 invokevirtual pop iinc,1,,1,1,,1,1,8928.37,,,,,,,,,
iload iconst3 isub aload iconst0,1,1,1,1,1,1,1,49773.8,,,,,,,,,
iload iconst4 aload iload bipush,1,,1,1,,1,1,26707,,,,,,,,,
iload iconst4 iadd aload getfield,1,,1,1,1,1,1,7038.37,,,,,,,,,
iload iconst4 iadd invokestatic imul,1,,1,1,,1,1,10662.7,,,,,,,,,
iload iconst4 iadd invokestatic isub,1,1,1,1,,1,1,7307.48,,,,,,,,,
iload iconst4 iadd invokevirtual aload,1,1,1,1,,1,1,7810.39,,,,,,,,,
iload iconst4 iadd invokevirtual i2l,1,1,1,1,1,1,1,6640.05,,,,,,,,,
iload iconst4 iadd invokevirtual iaload,1,1,1,1,1,1,1,29487.6,,,,,,,,,
iload iconst4 iadd invokevirtual ifne,1,1,1,1,1,1,1,18310.8,,,,,,,,,
iload iconst4 iadd invokevirtual invokeinterface,1,,1,1,,1,1,9735.18,,,,,,,,,
iload iconst4 iadd invokevirtual isub,1,1,1,1,,1,1,8902.01,,,,,,,,,
iload iconst4 ifIcmpge iload sipush,1,1,1,1,1,1,,14140.4,,,,,,,,,
iload iconst4 isub invokestatic invokevirtual,1,1,1,1,,1,1,7975.02,,,,,,,,,
iload iconst5 iadd ireturn aload,1,1,1,1,1,1,1,24844.2,,,,,,,,,
iload iconst5 invokevirtual pop iinc,1,,1,1,,1,1,10019.1,,,,,,,,,
iload iconstM1 ifIcmpeq aload iload,1,1,1,1,1,1,,16884.8,,,,,,,,,
iload iconstM1 ifIcmpne aload aload,1,,1,1,1,1,,7847.23,,,,,,,,,
iload iconstM1 ifIcmpne iload aload,1,,1,1,,1,,25341.7,,,,,,,,,
iload iconstM1 ifIcmpne iload ifeq,1,1,1,1,1,1,,4326.43,,,,,,,,,
iload ifeq aconstNull astore iload,1,1,1,1,1,1,,19921.6,,,,,,,,,
iload ifeq aload arraylength iconst1,1,1,1,1,1,1,,11934.2,,,,,,,,,
iload ifeq aload iload iinc,1,4,1,1,1,1,,14022.3,,,,,,,,,
iload ifeq aload iload invokespecial,1,,1,1,1,1,1,6126.91,,,,,,,,,
iload ifeq aload iload putfield,1,,1,1,1,1,,5040.09,,,,,,,,,
iload ifeq aload invokeinterface astore,1,,1,1,1,1,,6456.53,,,,,,,,,
iload ifeq bipush gotoInsn bipush,1,1,1,1,1,1,,17540.8,,,,,,,,,
iload ifeq iconst0 gotoInsn iload,1,1,1,1,1,1,1,22582.4,,,,,,,,,
iload ifeq iconst0 istore iload,1,1,1,1,1,1,,15089.7,,,,,,,,,
iload ifeq iconst1 gotoInsn iconst2,1,1,1,1,1,1,1,15730.9,,,,,,,,,
iload ifeq iload anewarray astore,1,1,1,1,1,1,,9891.81,,,,,,,,,
iload ifeq iload gotoInsn iconst0,1,1,1,1,1,1,,27855.1,,,,,,,,,
iload ifeq iload ifeq aload,1,1,1,1,1,1,,4667.97,,,,,,,,,
iload ifeq iload ifeq ldc,1,1,1,1,1,1,1,13643.9,,,,,,,,,
iload ifeq iload ifle aload,1,,1,1,1,1,,11223.8,,,,,,,,,
iload ifeq iload ifne aload,1,1,1,1,,1,,7675.98,,,,,,,,,
iload ifeq ldc aload invokevirtual,1,,1,1,1,1,1,10955.4,,,,,,,,,
iload ifge aload areturn aload,1,,1,1,1,1,,8545.98,,,,,,,,,
iload ifge iload iconst3 ifIcmpne,1,,1,1,,1,,5201.96,,,,,,,,,
iload ifIcmpeq aload iload iload,1,,1,1,,1,1,16696.4,,,,,,,,,
iload ifIcmpeq iload iconstM1 ifIcmpne,1,1,1,1,1,1,,5752.19,,,,,,,,,
iload ifIcmpge aload getfield getfield,1,1,1,1,1,1,,3357.31,,,,,,,,,
iload ifIcmpge aload getfield ifnull,1,1,1,1,1,1,1,5001.17,,,,,,,,,
iload ifIcmpge aload iload iconst1,1,1,1,1,,1,,16342.1,,,,,,,,,
iload ifIcmpge aload iload iinc,1,,1,1,1,1,,9388.6,,,,,,,,,
iload ifIcmpge aload iload iload,1,1,1,1,1,1,,11874.6,,,,,,,,,
iload ifIcmpge aload iload ldc,1,1,1,1,,1,,27566.4,,,,,,,,,
iload ifIcmpge aload iload newarray,1,1,1,1,1,1,,12132.8,,,,,,,,,
iload ifIcmpge bipush iload aload,1,1,1,1,,1,,25859.6,,,,,,,,,
iload ifIcmpge iinc aload iload,1,,1,1,,1,,21332.4,,,,,,,,,
iload ifIcmple iload gotoInsn iload,1,1,1,1,,1,,14429.1,,,,,,,,,
iload ifIcmple iload istore gotoInsn,1,,,1,,1,1,6102.69,,,,,,,,,
iload ifIcmplt aload dup getfield,1,1,1,1,1,1,1,6768.86,,,,,,,,,
iload ifIcmplt iload iconst1 iadd,1,1,1,1,1,1,1,7911,,,,,,,,,
iload ifIcmplt iload iconst1 invokestatic,1,1,1,1,1,1,,18287.1,,,,,,,,,
iload ifIcmpne aload aload iload,1,1,1,1,1,1,,42947.2,,,,,,,,,
iload ifIcmpne aload iload iconst1,1,1,1,1,1,1,,21116.5,,,,,,,,,
iload ifIcmpne iconst0 ireturn iload,1,1,1,1,1,1,1,14085.3,,,,,,,,,
iload ifIcmpne iload iconst1 ifIcmpne,1,1,1,1,1,1,,2346.68,,,,,,,,,
iload ifIcmpne iload ireturn iinc,1,1,1,1,,1,1,6150.37,,,,,,,,,
iload ifle aload getfield newarray,1,1,1,1,,1,,4890.85,,,,,,,,,
iload ifle aload iinc iload,1,,1,1,1,1,,19260.3,,,,,,,,,
iload ifle aload iload iaload,1,,1,1,,1,,3783.19,,,,,,,,,
iload ifle aload ldc invokevirtual,1,,1,1,1,1,,5793.32,,,,,,,,,
iload ifle iconst0 istore iload,1,,1,1,,1,1,19166.3,,,,,,,,,
iload ifle iconst3 istore gotoInsn,1,1,,1,1,1,,10810.3,,,,,,,,,
iload ifle iload aload iload,1,1,1,1,,1,,42136.7,,,,,,,,,
iload ifle iload bipush iadd,1,1,1,1,1,1,,11543.8,,,,,,,,,
iload ifle iload ifeq aload,1,1,1,1,1,1,,7610.45,,,,,,,,,
iload iflt aload aload aload,1,,1,1,1,1,,39592,,,,,,,,,
iload iflt aload getfield iload,1,,1,1,,1,,6623.58,,,,,,,,,
iload iflt aload iload aload,1,,1,1,1,1,,13681.8,,,,,,,,,
iload iflt aload iload baload,1,1,1,1,,1,,5426.86,,,,,,,,,
iload iflt iinc aload getfield,1,,1,1,,1,,8769.67,,,,,,,,,
iload iflt iload iload ifIcmpge,1,,1,1,1,1,,5528.01,,,,,,,,,
iload iflt iload iload isub,1,,1,1,1,1,,7968.76,,,,,,,,,
iload ifne aconstNull astore gotoInsn,1,,1,1,1,1,,14878.8,,,,,,,,,
iload ifne aload aload aload,1,,1,1,1,1,,22841.1,,,,,,,,,
iload ifne aload getfield gotoInsn,1,,1,1,1,1,,17078.9,,,,,,,,,
iload ifne aload getfield ifle,1,,1,1,1,1,,2542.63,,,,,,,,,
iload ifne aload ifnonnull aload,1,1,1,1,1,1,,7137.56,,,,,,,,,
iload ifne aload iload bipush,1,1,1,1,,1,,12805.8,,,,,,,,,
iload ifne aload iload iconst2,1,1,1,1,,1,,21508.4,,,,,,,,,
iload ifne iload bipush iadd,1,1,1,1,,1,,14166.5,,,,,,,,,
iload ifne iload ifeq aconstNull,1,1,1,1,1,1,,10652.4,,,,,,,,,
iload ifne iload ifeq iload,1,1,1,1,1,1,1,13461.9,,,,,,,,,
iload ifne iload iload isub,1,1,1,1,,1,,7387.25,,,,,,,,,
iload ifne iload istore gotoInsn,1,,1,1,,1,,7610.4,,,,,,,,,
iload ifne iload ldc iand,1,,1,1,,1,,15746.8,,,,,,,,,
iload ifne newInsn dup aload,1,1,1,1,1,1,,10850.6,,,,,,,,,
iload iinc aload aload getfield,1,,1,1,1,1,1,14344.6,,,,,,,,,
iload iinc aload iload iconst1,1,,1,1,1,1,1,25395.6,,,,,,,,,
iload iinc aload iload iinc,1,,1,1,,1,1,17247.7,,,,,,,,,
iload iinc baload istore iload,1,,1,1,,1,1,22751.6,,,,,,,,,
iload iinc caload bipush ifIcmpeq,1,,,1,,1,1,6359.46,,,,,,,,,
iload iinc caload istore iload,1,,,1,,1,1,20538.6,,,,,,,,,
iload iinc iaload istore aload,1,,,1,1,1,1,27583,,,,,,,,,
iload iinc iaload istore iload,1,1,,1,,1,1,18732.7,,,,,,,,,
iload iinc ifle aload bipush,1,,1,1,,1,,30622.2,,,,,,,,,
iload iinc iload bipush ishl,1,,,1,,1,1,21741.6,,,,,,,,,
iload iinc iload i2c castore,1,,,1,,1,1,7577.68,,,,,,,,,
iload iinc iload iastore iload,1,,1,1,,1,1,9539.37,,,,,,,,,
iload iinc iload invokevirtual aastore,1,,1,1,,1,1,10138.5,,,,,,,,,
iload iinc invokevirtual aastore gotoInsn,1,,1,1,,1,1,11598.7,,,,,,,,,
iload iinc invokevirtual bipush ifIcmpeq,1,,,1,,1,1,4805.11,,,,,,,,,
iload iinc invokevirtual istore iload,1,15,,1,,1,1,20661.5,,,,,,,,,
iload iinc invokevirtual tableswitch aload,1,,1,1,,1,1,16153.8,,,,,,,,,
iload iinc ldc aload aload,1,,1,1,,1,1,45675.4,,,,,,,,,
iload iinc ldc iastore gotoInsn,1,,1,,,1,1,14771.5,,,,,,,,,
iload iinc ldc iastore iconst0,1,,1,1,,1,1,16525.3,,,,,,,,,
iload iinc ldc iastore iinc,1,,1,1,,1,1,13801.4,,,,,,,,,
iload iload aconstNull iconstM1 aconstNull,1,,1,1,1,1,1,14611.3,,,,,,,,,
iload iload aload aload aload,1,1,1,1,1,1,1,30802.1,,,,,,,,,
iload iload aload aload invokeinterface,1,1,1,1,1,1,1,2400.16,,,,,,,,,
iload iload aload iconstM1 aconstNull,1,1,1,1,1,1,1,10274.8,,,,,,,,,
iload iload aload iload aaload,1,1,1,1,1,1,1,23849.2,,,,,,,,,
iload iload bipush iadd iastore,1,,1,1,1,1,1,10689.3,,,,,,,,,
iload iload bipush ifIcmpeq iload,1,1,1,1,,1,1,18219,,,,,,,,,
iload iload bipush iushr i2b,1,1,1,1,1,1,1,5721.19,,,,,,,,,
iload iload iadd aaload iload,1,,1,1,1,1,1,20129.7,,,,,,,,,
iload iload iadd baload sipush,1,1,1,1,1,1,1,7129.71,,,,,,,,,
iload iload iadd iconst1 iadd,1,1,1,1,1,1,1,4203.08,,,,,,,,,
iload iload iadd iconst2 isub,1,1,1,1,1,1,1,5996.34,,,,,,,,,
iload iload iadd ifIcmpge aload,1,1,1,1,,1,,12082.6,,,,,,,,,
iload iload iadd invokestatic ior,1,,1,1,,1,1,5918.55,,,,,,,,,
iload iload iadd istore iconst0,1,1,1,1,1,1,1,6733.67,,,,,,,,,
iload iload iadd istore iload,1,,,1,,1,1,10611.2,,,,,,,,,
iload iload iconst1 iadd iastore,1,,1,1,,1,1,7190.06,,,,,,,,,
iload iload iconst1 iadd invokespecial,1,1,1,1,1,1,1,3677.87,,,,,,,,,
iload iload ifIcmpeq aload iload,1,,1,1,,1,1,18819.2,,,,,,,,,
iload iload ifIcmpeq iload iconstM1,1,1,1,1,1,1,,13096.9,,,,,,,,,
iload iload ifIcmpge bipush iload,1,1,1,1,,1,,44107.4,,,,,,,,,
iload iload ifIcmpge iinc aload,1,,1,1,,1,,10778.1,,,,,,,,,
iload iload ifIcmple iload gotoInsn,1,1,1,1,,1,,8437.61,,,,,,,,,
iload iload ifIcmpne iconst0 ireturn,1,,1,1,,1,1,3822.39,,,,,,,,,
iload iload ifIcmpne iload iconst1,1,1,1,1,,1,,19914.2,,,,,,,,,
iload iload ifIcmpne iload ireturn,1,1,1,1,,1,1,9609.64,,,,,,,,,
iload iload iload iadd iconst2,1,,1,1,,1,1,16031.9,,,,,,,,,
iload iload iload iadd ifIcmpge,1,1,1,1,,1,1,4132.73,,,,,,,,,
iload iload iload invokevirtual astore,1,1,1,1,1,1,1,11351.9,,,,,,,,,
iload iload iload invokevirtual getfield,1,1,1,1,1,1,1,15927,,,,,,,,,
iload iload invokeinterface aload ifnull,1,1,1,1,1,1,1,7867.26,,,,,,,,,
iload iload invokespecial aload iload,1,,1,1,,1,1,18859.9,,,,,,,,,
iload iload invokespecial iload ifle,1,1,1,1,,1,1,6178.94,,,,,,,,,
iload iload invokestatic iload aload,1,1,1,1,,1,1,19203.4,,,,,,,,,
iload iload invokestatic istore iload,1,1,1,1,,1,1,12625.2,,,,,,,,,
iload iload invokevirtual astore aload,1,1,1,1,1,1,1,4535.89,,,,,,,,,
iload iload invokevirtual getfield bipush,1,1,1,1,1,1,1,20922.8,,,,,,,,,
iload iload invokevirtual iload invokevirtual,1,1,1,1,1,1,1,9596.33,,,,,,,,,
iload iload invokevirtual invokeinterface iload,1,,1,1,1,1,1,11700.4,,,,,,,,,
iload iload invokevirtual pop iload,1,1,1,1,1,1,1,14748.7,,,,,,,,,
iload iload isub aaload astore,1,,1,1,1,1,1,8812.9,,,,,,,,,
iload iload isub bipush ishl,1,1,1,1,,1,1,19319.9,,,,,,,,,
iload iload isub iconst1 iadd,1,1,1,1,1,1,1,4573.45,,,,,,,,,
iload iload isub putfield gotoInsn,1,,1,1,1,1,1,13138.3,,,,,,,,,
iload iload newarray invokespecial astore,1,,1,1,1,1,1,13215.6,,,,,,,,,
iload invokeinterface aload ifnull aload,1,1,1,1,1,1,,7575.42,,,,,,,,,
iload invokeinterface astore aload iload,1,1,1,1,1,1,1,22509.6,,,,,,,,,
iload invokeinterface iinc gotoInsn iload,1,,1,1,,1,1,25441.4,,,,,,,,,
iload invokeinterface iinc iinc gotoInsn,1,,1,1,1,1,1,14084.6,,,,,,,,,
iload invokeinterface iload ireturn aload,1,,1,1,,1,1,14284.1,,,,,,,,,
iload invokeinterface invokestatic istore gotoInsn,1,1,1,1,,1,1,17742.1,,,,,,,,,
iload invokespecial aload aload invokevirtual,1,,1,1,1,1,1,4797.54,,,,,,,,,
iload invokespecial aload ifnull aload,1,1,1,1,1,1,,9718.26,,,,,,,,,
iload invokespecial aload iload iconst1,1,,1,1,,1,1,22812.4,,,,,,,,,
iload invokespecial astore aload ldc,1,,1,1,,1,1,11371.1,,,,,,,,,
iload invokespecial astore iload tableswitch,1,1,1,1,,1,1,6215.53,,,,,,,,,
iload invokespecial gotoInsn aload iconst2,1,,1,1,,1,1,38951.8,,,,,,,,,
iload invokespecial iload ifle aload,1,1,1,1,,1,1,18211.7,,,,,,,,,
iload invokespecial iload ldc ifIcmpeq,1,,1,1,1,1,1,7857.82,,,,,,,,,
iload invokespecial invokespecial gotoInsn aload,1,,1,1,1,1,1,15468.6,,,,,,,,,
iload invokestatic aastore iload aload,1,,1,1,,1,1,28899.5,,,,,,,,,
iload invokestatic aload astore aload,1,,1,1,,1,1,7435.87,,,,,,,,,
iload invokestatic aload dup getfield,1,,1,1,1,1,1,7565.54,,,,,,,,,
iload invokestatic aload iload iinc,1,,1,1,,1,1,19737.4,,,,,,,,,
iload invokestatic iinc gotoInsn iinc,1,,1,1,,1,1,15132.7,,,,,,,,,
iload invokestatic iload aload iload,1,,1,1,,1,1,44349.7,,,,,,,,,
iload invokestatic iload isub iconst1,1,,1,1,,1,1,13059.4,,,,,,,,,
iload invokestatic iload isub istore,1,1,1,1,,1,1,12465.9,,,,,,,,,
iload invokestatic invokestatic invokestatic iinc,1,,1,1,,1,1,7100.52,,,,,,,,,
iload invokestatic invokevirtual pop iinc,1,,1,1,,1,1,6482.62,,,,,,,,,
iload invokestatic istore aload aload,1,,1,1,,1,1,11655.9,,,,,,,,,
iload invokestatic istore iload sipush,1,,1,1,,1,1,12106.1,,,,,,,,,
iload invokevirtual aastore gotoInsn aload,1,,1,1,,1,1,11329.6,,,,,,,,,
iload invokevirtual aload aload getfield,1,3,1,1,1,1,1,7111.76,,,,,,,,,
iload invokevirtual aload arraylength iload,1,1,1,1,,1,1,16145.2,,,,,,,,,
iload invokevirtual aload getfield astore,1,2,1,1,1,1,1,6505.55,,,,,,,,,
iload invokevirtual aload invokevirtual aastore,1,,1,1,1,1,1,12215.4,,,,,,,,,
iload invokevirtual aload invokevirtual astore,1,1,1,1,,1,1,5945.54,,,,,,,,,
iload invokevirtual aload invokevirtual invokeinterface,1,,1,1,1,1,1,6420.85,,,,,,,,,
iload invokevirtual anewarray astore iinc,1,,1,1,1,1,1,10000.6,,,,,,,,,
iload invokevirtual astore aload aload,1,2,1,1,1,1,1,2307.25,,,,,,,,,
iload invokevirtual astore aload getfield,1,,1,1,1,1,1,4095.32,,,,,,,,,
iload invokevirtual bipush ifIcmpeq aload,1,3,1,1,,1,,7020.03,,,,,,,,,
iload invokevirtual bipush isub i2b,1,,1,1,1,1,1,6804.57,,,,,,,,,
iload invokevirtual bipush isub iastore,1,,1,1,1,1,1,12679.2,,,,,,,,,
iload invokevirtual dup istore bipush,1,2,1,1,,1,1,31931.8,,,,,,,,,
iload invokevirtual dup istore dup,1,,1,1,1,1,1,5430.35,,,,,,,,,
iload invokevirtual dup istore istore,1,,3,1,1,1,1,9723.28,,,,,,,,,
iload invokevirtual dup istore lookupswitch,1,1,1,1,,1,1,2731.03,,,,,,,,,
iload invokevirtual getfield bipush iadd,1,1,1,1,1,1,1,19739.1,,,,,,,,,
iload invokevirtual getfield invokevirtual pop,1,1,1,1,1,1,1,7256.85,,,,,,,,,
iload invokevirtual i2l lstore aload,1,,1,1,1,1,1,14695.4,,,,,,,,,
iload invokevirtual iadd aaload aastore,1,,1,1,,1,1,8494.59,,,,,,,,,
iload invokevirtual iaload aload invokevirtual,1,1,1,1,1,1,1,9049.17,,,,,,,,,
iload invokevirtual iaload invokevirtual iastore,1,,1,1,1,1,1,12132,,,,,,,,,
iload invokevirtual iaload invokevirtual ifeq,1,1,1,1,1,1,1,5676.24,,,,,,,,,
iload invokevirtual iaload invokevirtual ifne,1,1,1,1,1,1,1,22943.9,,,,,,,,,
iload invokevirtual iaload invokevirtual lastore,1,,1,1,1,1,1,4155.13,,,,,,,,,
iload invokevirtual iastore aload iload,1,1,1,1,,1,1,53314.5,,,,,,,,,
iload invokevirtual iastore iinc gotoInsn,1,,1,1,1,1,1,12021,,,,,,,,,
iload invokevirtual iconst3 imul istore,1,1,1,1,1,1,1,7439.97,,,,,,,,,
iload invokevirtual ifIcmpeq iconst0 istore,1,,1,1,1,1,,10626.7,,,,,,,,,
iload invokevirtual ifne aconstNull gotoInsn,1,,1,1,1,1,,12867.7,,,,,,,,,
iload invokevirtual invokestatic invokevirtual gotoInsn,1,1,1,1,,1,1,10413,,,,,,,,,
iload invokevirtual invokestatic invokevirtual iinc,1,,1,1,,1,1,9042.59,,,,,,,,,
iload invokevirtual invokevirtual gotoInsn aload,1,2,1,1,,1,1,3704.04,,,,,,,,,
iload invokevirtual invokevirtual iinc gotoInsn,1,,1,1,,1,1,5813.89,,,,,,,,,
iload invokevirtual ior invokespecial gotoInsn,1,,1,1,1,1,1,5472.3,,,,,,,,,
iload invokevirtual istore aload getfield,1,,1,1,1,1,1,4479.13,,,,,,,,,
iload invokevirtual istore iload anewarray,1,,,1,,1,1,24375.7,,,,,,,,,
iload invokevirtual istore iload bipush,1,,1,1,,1,1,17802.5,,,,,,,,,
iload invokevirtual pop aload areturn,1,1,1,,1,1,1,1527.75,,,,,,,,,
iload invokevirtual pop gotoInsn newInsn,1,1,1,1,1,1,1,3499.76,,,,,,,,,
iload invokevirtual pop iload bipush,1,1,1,1,1,1,1,11771.6,,,,,,,,,
iload invokevirtual pop iload ifle,1,,1,1,1,1,1,4149.39,,,,,,,,,
iload invokevirtual pop newInsn dup,1,1,1,1,1,1,1,8568.06,,,,,,,,,
iload invokevirtual pop returnInsn aload,1,6,1,1,1,1,1,10589.9,,,,,,,,,
iload invokevirtual tableswitch iconst0 ireturn,1,1,1,1,1,1,1,14640.9,,,,,,,,,
iload invokevirtual tableswitch ldc istore,1,1,1,1,,1,1,10372.9,,,,,,,,,
iload ior dupX2 iastore istore,1,,1,1,1,1,1,4017.53,,,,,,,,,
iload ior ireturn aload getfield,1,1,1,1,1,1,1,8363.35,,,,,,,,,
iload ireturn aload getfield arraylength,1,,1,1,1,1,1,14820.2,,,,,,,,,
iload ireturn aload iload aload,1,1,1,1,1,1,1,18166,,,,,,,,,
iload ireturn iconst0 istore iload,1,,1,1,1,1,1,19654.3,,,,,,,,,
iload ireturn iinc gotoInsn iload,1,,1,1,,1,1,18720.3,,,,,,,,,
iload ireturn iload istore iconst0,1,,1,1,,1,1,8563.3,,,,,,,,,
iload istore aload iload iinc,1,1,1,1,,1,1,15090.4,,,,,,,,,
iload istore aload iload invokevirtual,1,,1,1,,1,1,5175.19,,,,,,,,,
iload istore gotoInsn aload aload,1,,1,1,1,1,1,7062.74,,,,,,,,,
iload istore gotoInsn iconst3 istore,1,,,1,,1,1,8107.92,,,,,,,,,
iload istore gotoInsn iload bipush,1,1,1,1,,1,1,15322.6,,,,,,,,,
iload istore iconst0 istore iconst0,1,1,1,1,,1,1,10950.4,,,,,,,,,
iload istore iconst0 istore iconst1,1,1,1,1,,1,1,21741.8,,,,,,,,,
iload istore iconst3 istore iconst0,1,1,1,1,1,1,1,12829.3,,,,,,,,,
iload istore iconstM1 istore iload,1,1,1,1,1,1,1,28210,,,,,,,,,
iload istore iload iload iadd,1,1,1,1,,1,1,12554.4,,,,,,,,,
iload istore iload iload iload,1,,1,1,,1,1,60259.9,,,,,,,,,
iload istore iload istore iload,1,,1,1,1,1,1,9562.59,,,,,,,,,
iload isub aaload astore aload,1,,1,1,1,1,1,16622.5,,,,,,,,,
iload isub aload getfield invokespecial,1,1,1,1,1,1,1,4966.58,,,,,,,,,
iload isub bipush ishl iload,1,1,1,1,,1,1,21758.2,,,,,,,,,
iload isub iadd putfield aload,1,1,1,1,1,1,1,16814.2,,,,,,,,,
iload isub iconst1 iadd anewarray,1,1,1,1,1,1,1,4272.64,,,,,,,,,
iload isub iconst1 iadd istore,1,,1,1,1,1,1,6873.88,,,,,,,,,
iload isub imul iadd istore,1,1,1,1,,1,1,8233.17,,,,,,,,,
